id,event,computer,operator,source,sourceid,executionid,starttime,endtime,datacode,databytes,message
1,OnWarning,SERVERNAME,DOMAIN\USER,Expressions,{41ADF117-4E99-43F4-B9E7-34245C58A5D6},{BE55BAAE-7A99-48F8-A3D8-60C5F7FB8824},2025-12-03 19:46:52,2025-12-03 19:46:52,-2147381245,,The configuration environment variable was not found.  The environment variable was: "ConfigFile". This occurs when a package specifies an environment variable for a configuration setting but it cannot be found. Check the configurations collection in the package and verify that the specified environment variable is available and valid.

2,OnWarning,SERVERNAME,DOMAIN\USER,Expressions,{41ADF117-4E99-43F4-B9E7-34245C58A5D6},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,-2147381245,,The configuration environment variable was not found.  The environment variable was: "ConfigFile". This occurs when a package specifies an environment variable for a configuration setting but it cannot be found. Check the configurations collection in the package and verify that the specified environment variable is available and valid.

3,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,0,,Validating
4,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,33,,Validating
5,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,66,,Validating
6,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,100,,Validating
7,PackageStart,SERVERNAME,DOMAIN\USER,Expressions,{41ADF117-4E99-43F4-B9E7-34245C58A5D6},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,0,,Beginning of package execution.

8,OnPreExecute,SERVERNAME,DOMAIN\USER,Expressions,{41ADF117-4E99-43F4-B9E7-34245C58A5D6},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,0,,
9,OnPreExecute,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,0,,
10,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,0,,Validating
11,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,33,,Validating
12,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,66,,Validating
13,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,100,,Validating
14,OnWarning,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,-2147183868,,Warning: Could not open global shared memory to communicate with performance DLL; data flow performance counters are not available.  To resolve, run this package as an administrator, or on the system's console.

15,OnWarning,SERVERNAME,DOMAIN\USER,Expressions,{41ADF117-4E99-43F4-B9E7-34245C58A5D6},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,-2147183868,,Warning: Could not open global shared memory to communicate with performance DLL; data flow performance counters are not available.  To resolve, run this package as an administrator, or on the system's console.

16,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,0,,Prepare for Execute
17,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,33,,Prepare for Execute
18,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,66,,Prepare for Execute
19,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,100,,Prepare for Execute
20,OnProgress,SERVERNAME,DOMAIN\USER,SSIS_LOGS_TO_CSV,{8FE22759-BB3F-40B7-A791-2C0518D7AEF5},{5C847325-34D3-41EB-BD7B-0DAF92722BB5},2025-12-03 19:46:53,2025-12-03 19:46:53,0,,Pre-Execute
